"Account Type","Account Number","Transaction Date","Cheque Number","Description 1","Description 2","CAD$","USD$"
Chequing,05920-5031885,1/7/2026,,"C - IDP REFUND-5173","SOFT MOC #36 ",74.80,
Chequing,05920-5031885,1/12/2026,,"C-IDP PURCHASE-1332","SQ *THE POLLY F ",-72.50,,
Chequing,05920-4505459,2/13/2026,,"Transfer","PC/WWW FGN EXCHANGE REF 6WW34044",,10000.00,
Chequing,05920-4505459,2/5/2026,,"MONTHLY FEE",,,-3.00,
Savings,05920-5083274,1/2/2026,,"DEPOSIT INTEREST",,1.26,,
Visa,4514011614694030,11/16/2025,,"TAKE SUSHI JAPANESE BURNABY BC",,-90.46,,
Visa,4514011614694030,1/2/2026,,"PT MOODY PARKS, REC & CULPORT MOODY BC",,190.00,,





